region_id
001
01
010
02
020
023
03
04
05
050
06
060
07
08
09
10
100
11
110
12
13
150
160
170
19
190
20
200
22
23
24
26
27
280
29
30
300
33
35
36
37
976
AC
AJ
AZ
BT
CA
DU
ESS
GE
HAM
JT
KIE
LIV
LND
MI
MO
OAX
PA
PR
SA
SH
SP
SU
TPE
TRE
VIC
WLK
""
