region_name,item_description,total_value,regional_total,percentage
DadraNagHavDamanDiu,SUNPRIDE REF SUNFLOWER OIL 4.35 KG JAR,822750.020000000,4877072976.050000000,0.016869750
DadraNagHavDamanDiu,TIRUPATI REF SOYABEAN OIL 750 ML POUCH,676199.950000000,4877072976.050000000,0.013864873
DadraNagHavDamanDiu,TIRUPATI SOYALITE REF SOYA OIL 13 KG NT,543999.720000000,4877072976.050000000,0.011154226
DadraNagHavDamanDiu,TIRUPATI REFINED RICE BRAN OIL 5 LTR JAR,446550.320000000,4877072976.050000000,0.009156113
DadraNagHavDamanDiu,TIRUPATI REF SOYABEAN OIL POU 16X750 ML,375799.740000000,4877072976.050000000,0.007705436
DadraNagHavDamanDiu,SUNPRIDE REF SUNFLOWER OIL 750 ML POUCH,311400.080000000,4877072976.050000000,0.006384979
DadraNagHavDamanDiu,TIRUPATI REFINED RICE BRAN OIL 1LTRPOUCH,256500.180000000,4877072976.050000000,0.005259306
DadraNagHavDamanDiu,SUNPRIDE REF SUNFLOWER OIL 870 GRM BOT,190470.050000000,4877072976.050000000,0.003905417
DadraNagHavDamanDiu,TIRUPATI MUSTARD OIL 870 GRM BOTTLE,121227.050000000,4877072976.050000000,0.002485652
DadraNagHavDamanDiu,TIRUPATI REFINED COTTON OIL 870 GRM BOT,93060.050000000,4877072976.050000000,0.001908113
DadraNagHavDamanDiu,TIRUPATI PREMIUM FILTER GNOIL 870GRM BOT,90420.050000000,4877072976.050000000,0.001853982
Goa,RICINOLEIC ACID,32840320.400000000,65240320.400000000,50.337460329
Goa,CASTOR OIL FATTY ACID(RICILONIC ACID<90%,32400000.000000000,65240320.400000000,49.662539671
Gujarat,TIRUPATI REFINED COTTON OIL 15 KG NT,1088740444736.620000000,2896805871761.100000000,37.584170046
Gujarat,TIRUPATI REFINED COTTON OIL 4.35 KG JAR,429546321722.620000000,2896805871761.100000000,14.828274339
Gujarat,TIRUPATI REF.C.S OIL POUCH 16 X 750 ML,176509089850.810000000,2896805871761.100000000,6.093231568
Gujarat,TIRUPATI REFINED COTTON OIL 13 KG NT,176174253104.390000000,2896805871761.100000000,6.081672742
Gujarat,TIRUPATI REFINED COTTON OIL 870 GM POUCH,174952904412.640000000,2896805871761.100000000,6.039510832
Gujarat,SUNPRIDE REF SUNFLOWER OIL 13 KG NT,124844989708.220000000,2896805871761.100000000,4.309746501
Gujarat,TIRUPATI REFINED COTTON OIL 5 LTR JAR,58678550232.680000000,2896805871761.100000000,2.025629360
Gujarat,TIRUPATI REFINED COTTON OIL 435 GRM POU,53265077979.950000000,2896805871761.100000000,1.838752072
Gujarat,TIRUPATI REFINED COTTON OIL 1.75 KG JAR,52092660982.160000000,2896805871761.100000000,1.798279322
Gujarat,TIRUPATI REFINED COTTON OIL 1 LTR POUCH,43439635850.370000000,2896805871761.100000000,1.499570139
Gujarat,RBD PALM OLEIN OIL,35460413472.700000000,2896805871761.100000000,1.224121154
Gujarat,TIRUPATI PREMIUM FILTER GN OIL 15 KG NT,35337546132.810000000,2896805871761.100000000,1.219879678
Gujarat,SUNPRIDE REF SUNFLOWER OIL 4.35 KG JAR,24331907055.240000000,2896805871761.100000000,0.839956426
Gujarat,SUNPRIDE REF SUNFLOWER OIL 15 LTR NT,23282781959.710000000,2896805871761.100000000,0.803739808
Gujarat,WASHED COTTONSEED OIL,23070085189.230000000,2896805871761.100000000,0.796397350
Gujarat,REFINED SOYABEAN OIL,21834813878.530000000,2896805871761.100000000,0.753754820
Gujarat,TIRUPATI ACTIVE REF CORN OIL 13 KG NT,19560359953.380000000,2896805871761.100000000,0.675238895
Gujarat,SUNPRIDE REF SUNFLOWER OIL 13 KG CHAKLI,19000551668.780000000,2896805871761.100000000,0.655913876
Gujarat,DEGUMMED SOYABEAN OIL,18587920805.980000000,2896805871761.100000000,0.641669536
