customer_id,customer_name
111249,BANSAL SUPER MARKET TARSALI
104935,BANSIDHAR PROVI STORE.GADHI GRAM
500438,"Baoding Wansitu Technology Co.,Ltd."
100274,BARAI ANAJ KIRANA BHANDAR
152785,BATRA TRADERS PRATAPGARH
152813,B.B.MARKETING
500195,Berg + Schmidt GmbH & Co. KG
500369,BERKELEY TRADING LLC TTT
152733,BHAGAT AROMATICS LIMITED
104941,"BHAGAVATI SALES - SARDHAR,SURESHBHA"
104943,BHAGVATI ENTERPRISE  - JAKSAN MAIN
100291,BHAGWATI TRADING CO-A-BAD
100292,BHAGYA TRADERS
104944,BHAGYODAY GENARAL -MAUDI
113620,BHAGYODAY TRADERS
100298,BHAILAL OGHADBHAI
113074,BHANU AGRO
114143,BHANU ENTERPRISES
115088,BHANU OIL INDUSTRIES PVT LTD
153250,BHARATBHAI RAVJIBHAI BHANUSALI
114765,BHARAT ENTERPRISE
111295,BHARAT ENTERPRISE  GODHRA
100304,BHARAT FOODS CO OPERATIVE LTD.
113448,BHARATKUMAR GOVINDJI RAJVIR
100314,BHARATKUMAR S MEHTA
112316,BHARAT OIL INDUSTRIES
102503,BHARAT SALES BOTAD
112892,BHARAT SOAP FACTORY
100308,BHARAT TRADING
104203,BHARAT TRADING CO
104947,BHARMAL STORE-JAKSAN MAIN ROAD
113801,BHARUCH SINDHI VEPARI SYNDICATE
114938,BHATIA KHETI STORE
110930,BHAVANDAS MOHANLAL
109939,BHAVANI SHOPING POINT (MAUDI)
104955,BHAVANI VASTU BHANDAR -CHUDASMA PLO
113140,BHAVESHBHAI JAYANTILAL THAKKAR
111108,BHAVESHKUMAR  S MAHESHWARI
153241,BHAVESH OIL INDUSTRIES
100332,BHAVISHA TRADING CO.
114460,BHAVYA AGRO PRODUCTS
115087,BHAWANI OILS INDUSTRY
114905,BHERUNATH SCRAP TRADERS
100178,BHERUNATH TRADING
112769,BHIMSHANKAR TRADING CO
109581,BHOJALRAM TRADERS & GENERAL STORE(K
104959,"BHOLA JANRAL -JAGANNATH CHOWK,NAVJY"
100341,BHOLA TRADING CO
152765,BHOLENATH TRADERS
114654,BHUMI MARKETING
111162,BHUSHAN OILS AND FATS PVT LTD
114136,BHUTADA CORPORATION
153223,BIKAJI FOODS INTERNATIONAL LIMITED
104622,BIPINKUMAR VALLABHBHAI-M-YARAD
116168,Blue Stone Energy Private Ltd
111427,B N AGRITECH LTD
114445,B.Narain and Co
100227,B NARAYAN AND CO
113195,BN ENTERPRISE
152792,BN HOLDINGS LIMITED
152942,BOOB TRADING COMPANY
110180,BRAHMANI TRADERS
100359,BRAHMANI TRADES
100362,BRIJESH TRADING COMPANY THARA
111985,B S TRADING COMPANY
500422,BUNGE ASIA PTE. LTD.
113522,BUNGE INDIA PRIVATE LIMITED
113931,CAPITAL FOODS PRIVATE LIMITED.  Nas
114739,CAPITAL FOODS PRIVATE LIMITED  NASH
113920,CAPITAL FOODS PRIVATE LIMITED  Pani
115020,CAPITAL FOODS PRIVATE LTD
500193,"CASDA Biomaterials Co., Ltd."
111979,CASH MEMO AKOLA
114371,CASH MEMO - AMBALA
104395,CASH MEMO - KADI
106629,CASH MEMO - MUMBAI
152812,CASH MEMO OLIXIR
111898,CASTORGIRNAR IND PVT LTD
104963,"CHAMUNDA PROVI - DEVJIBHAI,GOLRESID"
104966,CHAMUNDA PROVI -PADADHARI
111560,CHANDRA PRAKASH VIJAY KUMAR
108981,CHARBHUJA KIRANA STORES
107888,CHELARAM TRADERS
500443,ChemCloud Australia Pty Ltd
500281,ChemScapes ApS
100394,CHETAN KIRAN STORES
100396,CHHANI KHEDUT VIV SEVA SAH MAN L
111126,CHHOTALAL MAGANLAL GANDHI
500380,CHIMCOMPLEX SA BORZESTI
500215,CHINA SINOPHARM HEALTHCARE INDUSTRY
500312,CHINESE CATALPA INTER.TRADE (QINGHA
112845,CHINI AND SONS
500043,"CHIN MING TRADING CO., LTD."
112524,CHINUBHAI NAGARDAS AND CO
113804,CHIRAGKUMAR KANTIBHAI SHARMA
100414,CHISTIYA TRADERS
113021,CHITRA PROVISION STORE KALAWAD
112212,C M INDUSTRIES
500439,COFCO Resources S.A
153009,COLOSPERSE DYES AND INTERMEDIATES P
109473,COREL PHARMA CHEM
152972,CORGENT GLOBAL MARKETING PVT LTD
109075,C R TRADERS
114186,DAKSH SALES
107776,DALCHAND VASANTILAL JAIN
104629,DAMODARDAS PRAGJIBHAI GONDAL
500314,DAN-BUNKERING (MIDDLE EAST)
104972,DARPAN PROVI STORES -SARDHAR
152734,DARSHAN GENERAL STORE
112613,DARSHAN OVERSEAS PRIVATE LTD.
100439,DARSHAN TRADERS RAPAR
109675,DAS ENTERPRISE(TIRUPATNAGAR-2)
112926,DD SHAH FOOD LABS LLP
111595,D D SHAH PETROCHEM PVT LTD
110947,DEEPAK TRADERS
114993,DEEPARAM MALAJI
103877,DEEPCHAND ARYA INDUSTRIES LTD
114976,DEEP ENTERPRISE
113252,DEEPKIRAN FOODS PRIVATE LIMITED
115094,DEVASYA SUPER MARKET
152796,DEV ENTERPRISE (DOC)
112910,DEV ENTERPRISE  KADI
114169,DEVESH ENTERPRISE
104637,"DEV GENRAL - KARAN PARK ,ASTRON SOC"
153153,DEVILAL HALURAM
100473,DEVI SHAKTI ANAJ BHANDAR
152867,DEVJHIRI MARKETING
114286,DEVKRUPA JUTE SUPPLIERS
109974,DHALA ENTERPRSIE (KALAVAD)
153066,DHANESH ENTERPRISE
113919,DHANPAT RAI RAM BILAS
100481,DHANVANTI TRADERS
113608,DHARA AGRO INDUSTRIS
153139,DHARAM CHAND BHERUMAL SHAH
100483,DHARAMCHAND BHERUMAL SHAH
100484,DHARAMCHAND LADHAMAL
107609,DHARAMCHAND LADHAMAL
104978,DHARESVAR KIRANA-KHIJADA VADO ROAD
115052,Dharma Corporation
113432,DHARM CHAND LADU LAL BHANDARI
100491,DHARMESH TRADERS
152753,DHARMNANDAN TRADERS
100493,DHARNEDHAR TRADING CO
153144,DHARNIDHAR BARDAN CO.
111927,DHARTI OIL INDUSTRIES
100496,DHARTI TRADING CO
100503,DHIRAJLAL PRABHURAM JIVRANI
152929,DHRUVANSH ENTERPRISES
115017,DHRUV PACKAGING
108812,DHRUV TRADERS
112988,DIAMOND TRADING COMPANY
100510,DILIPKUMAR BADAMILAL SHAH
100517,DINESHCHANDRA KANTILAL VORA
100519,DINESHKUMAR BALMUKUND
112763,DINESH OIL MILL
104981,DINESH SHOPING CENTER - KOTECHA NAG
100515,DINESH TRADERS
153002,DIPTI VEGOILS LTD
152834,DIU MART
113828,DIVYA SALES AND OIL
152721,DIVYA TRADERS
111955,DIVYESH KIRANA STORE
113785,DIYA TRADING CO
100421,D KESHAVRAM
114667,D KESHVRAM & CO
112484,D M CORPORATION
500385,Dongyang Oil Chemical Co. Ltd.
114918,D.R.COMMODITIES PVT. LTD
106639,D.R.COMMODITIES PVT. LTD.
115034,DUDHIA DAIRY FARM
105328,DUGAR BROTHERS
100527,DURGA TRADERS
114026,DWARKADISH PASHU AAHAR
500392,Eco Blaster indústria e comércio de
100532,EKTA TRADING CO
112265,ELECTROTHERM INDIA LIMITED
114114,ELLECHA GLOBAL PRIVATE LIMITED
153082,EMAMI AGROTECH LIMITED
500319,ENERGEX FZE
114925,EPIGRAL LIMITED
152803,ESTELLE CHEMICALS PRIVATE LIMITED
153200,ETERNA GLOBE ENTERPRISE
112481,EURO INDIA FRESH FOODS LIMITED
112813,FAITH INDUSTRIES LIMITED
152940,FALCON AGRIFRIZ FOODS PRIVATE LIMIT
152908,F. A. NUTRIENTS
114866,FARSUN ORGANIC AGRO
104984,FEVRIT JANRAL STORE -SOMNATH SO 150
112695,Fine Organic Industries LTD
115033,FINOZOL SPECIALITY CHEMICALS PVT LT
114869,FIORA HYPERMARKET LIMITED
152955,FLIPKART INDIA PRIVATE LIMITED SURA
100534,F M DABHOIWALA
153196,FOREVER LIFESCIENCE PRIVATE LIMITED
152781,FORTUNE EXICOM
114839,FRIENDS AGENCIES
500026,FUERST DAY LAWSON LTD.
500302,FUMING POLYMER TECHNOLOGY
100556,GADAT SEVA SHAKARI MANDALI
100559,GAJANAND TRADERS NAVA VADAJ
108958,GAJANAND TRADING CO  NARODA
100191,GAJ OIL INDUSTRIES
109723,GALAXY PROVISION STORE (V S)
152762,GALAXY WOOD PACK INDUSTRIES
111228,GANDHI CHHAGANLAL TRIBHOVANDAS AND
100569,GANESH AGENCY
100571,GANESH ENTERPRISE
111373,GANESH ENTERPRISE
109800,GANESH KIRANA BHANDAR
114334,GANESH LAL SHANTI LAL
110661,GANESH PROTEINS
112142,GANESH SCRAP SUPLIERS
100575,GANESH TRADERS  KHUREJA ROAD
100579,GANESH TRADING CO  KATARGAM
112594,GAUTAM OILS
100604,GAUTAM TRADERS
153011,GAYATRI ENTERPRISES
100615,GAYATRI TRADERS
104646,GAYATRI TRADING-UNIVER CITY ROAD
152745,GENERAL FOODS AND INGREDIENTS PVT L
100628,GHANSHYAMBHAI MANILAL
104992,"GHANSHYAM PROVI -ALAP HERITEGE,SATY"
100623,GHANSHYAM TRADERS SNAGAR
100624,GHANSHYAM TRADERS VASTRAPUR
100629,GHEEWALA TRADERS
